email,PLZ,Kino,Ort,status,Latitude,Longitude
info@motorenhalle.de,1067.0,Motorenhalle,Dresden,active,51.0561186,13.7179257
info@ufa-dresden.de,1069.0,UFA-Kristallpalast Dresden,Dresden,active,51.0441559,13.7348537
info@filmnaechte.de,1097.0,Filmnächte am Elbufer,Dresden,active,51.0561637,13.7419464
kontakt@schauburg-dresden.de,1099.0,Filmtheater Schauburg,Dresden,active,51.0712391,13.7475208
thalia-dresden@gmx.de,1099.0,Thalia,Dresden,bounced,51.0712372,13.7294479
elbepark@uci-kinowelt.de,1139.0,UCI Elbe Park,Dresden,active,51.0823959,13.6937114
kontakt@kif-dresden.de,1159.0,KIF - Kino in der Fabrik,Dresden,active,51.0380911,13.7032342
kontakt@club-passage.de,1169.0,Club Passage Sommerkino,Dresden,active,51.0454907,13.6741274
info@kino-im-kasten.de,1219.0,Kino im Kasten,Dresden,active,51.0301776,13.7514282
info@kino-im-dach.de,1277.0,KID - Kino im Dach,Dresden,active,51.0409594,13.7981573
info@programmkino-ost.de,1277.0,Programmkino Ost,Dresden,active,51.0394187,13.8040374
service@tsd.de,1277.0,Ernemann VII B Museumskino,Dresden,active,51.0380602,13.7730002
info@palastkino.de,1445.0,Palastkino Radebeul,Radebeul,bounced,51.0380293,13.7109845
info@filmgalerie-grossenhain.de,1558.0,Filmgalerie,Großenhain,active,51.291602,13.5299584
riesa@filmpalast-kino.de,1587.0,Filmpalast Capitol Riesa,Riesa,active,51.3053686,13.3012282
info@castello-kino.de,1609.0,Castello,Gröditz,active,51.4090034,13.4405398
meissen@filmpalast-kino.de,1662.0,Filmpalast Meißen,Meißen,active,51.1651472,13.4700259
kontakt@zentralgasthof.com,1689.0,Sommernachtkino hinterm Zentralgasthof,Weinböhla,active,51.161533,13.5605317
pirna@filmpalast-kino.de,1796.0,Filmpalast Pirna,Pirna,active,50.9619163,13.9318419
info@kino-grenzland-lichtspiele.de,1844.0,Grenzland Lichtspiele,Neustadt in Sachsen,active,51.026535,14.2123311
info@wandelhof-online.de,1987.0,Extra-Kinowelt im Freizeitpark Wandelhof,Schwarzheide,active,51.4810942,13.845022
bautzen@filmpalast-kino.de,2625.0,Filmpalast Bautzen,Bautzen,active,51.1792434,14.4295777
kino@steinhaus-bautzen.de,2625.0,Steinhaus Kino,Bautzen,bounced,51.1802283,14.4294535
steinhaus@steinhaus-bautzen.de,2625.0,Open-Air Kino im Freihof Gedenkstätte,Bautzen,active,51.1825195,14.4175822
info@kino-ebersbach.de,2730.0,Filmtheater Ebersbach,Ebersbach-Neugersdorf,active,51.0070508,14.5767823
info@kunstbauerkino.de,2747.0,Kunstbauerkino,Großhennersdorf,active,50.9914727,14.7934525
info@hillerschevilla.de,2763.0,Kronenkino,Zittau,active,50.8980173,14.796352
kultur@hillerschevilla.de,2763.0,Zittauer Filmnächte,Zittau,bounced,50.89902,14.8336698
v.kirchmaier@kulturfabrik-meda.de,2763.0,Kulturfabrik MEDA in Mittelherwigsdorf,Mittelherwigsdorf,active,50.9216003,14.7406037
zittau@filmpalast-kino.de,2763.0,Filmpalast Zittau,Zittau,active,50.8956764,14.804166
erikaheine@klappe-die-zweite.com,2826.0,Offkino Klappe die Zweite,Görlitz,active,51.1545826,14.9857384
filmclub.goerlitz@gmail.com,2826.0,CamilloKino,Görlitz,active,51.1558333,14.9910308
goerlitz@filmpalast-kino.de,2826.0,Palast Theater Görlitz,Görlitz,active,51.1468418,14.9800072
kontakt@camillokino.de,2826.0,Camillo-Sommerkino im Rathaushof,Görlitz,deleted,51.1558333,14.9910308
kino-cafe-rietschen@hotmail.com,2956.0,Kino-Cafe,Rietschen,active,51.3960976,14.7838854
hoyerswerda@cinemotion-kino.de,2977.0,CineMotion - Hoyerswerda,Hoyerswerda,active,51.4382527,14.2425527
info@krabatmuehle.de,2977.0,Open Air an der Krabatmühle Schwarzkollm,Hoyerswerda,active,51.4287406,14.1464552
karsten.held@kufa-hoyerswerda.de,2977.0,Blow Up,Hoyerswerda,active,51.4287406,14.1464552
buehne8@arcor.de,3046.0,Kino ACHT,Cottbus,active,51.7415109,14.2819507
fischer@gladhouse.de,3046.0,Freiluftkino im Glad-House-Garten...,Cottbus,active,51.7415109,14.2819507
info@weltspiegel-cottbus.de,3046.0,Filmtheater Weltspiegel,Cottbus,active,51.7562,14.3293797
kino@cmt-cottbus.de,3046.0,KinOh,Cottbus,bounced,51.7561999,14.329369
obenkino@gladhouse.de,3046.0,Obenkino im Glad-House,Cottbus,active,51.7542979,14.3310101
spreekino@t-online.de,3130.0,Spree-Kino Spremberg,Spremberg,active,51.57163,14.3774683
info@fabrik-ev.de,3172.0,Fabrik - Flimmerabend,Guben,active,51.9566243,14.5982638
weltspiegel-kino@t-online.de,3238.0,Weltspiegel,Finsterwalde,active,51.6337913,13.7069492
info@moritzbastei.de,4109.0,,,deleted (unsubscribed),51.3380172,12.3434598
info@passage-kinos.de,4109.0,Passage Kinos,Leipzig,active,51.3420799,12.3699981
leipzig@cinestar.de,4109.0,CineStar - Der Filmpalast,Leipzig,active,51.3374938,12.3716529
lipsk@instytutpolski.org,4109.0,Polnisches Institut Leipzig,Leipzig,bounced,51.340653,12.3714132
